id,draw_id,Date,N1,N2,N3,N4,N5,E1,E2,has_winner
62,62,2025-02-10,1,26,39,47,50,6,9,True
63,63,2025-02-12,19,24,27,32,39,1,4,False
64,64,2025-02-14,9,10,20,43,48,5,12,False
65,65,2025-02-16,5,7,21,36,40,5,8,True
66,66,2025-02-18,12,31,34,37,41,1,6,True
67,67,2025-02-20,2,21,31,49,50,2,8,False
68,68,2025-02-22,9,11,14,22,45,6,9,True
69,69,2025-02-24,3,10,15,17,29,6,8,False
70,70,2025-02-26,2,3,5,33,35,4,8,False
71,71,2025-02-28,5,22,30,34,40,7,12,False
72,72,2025-03-02,4,8,28,40,48,2,10,False
73,73,2025-03-04,2,3,6,32,37,1,9,True
74,74,2025-03-06,15,28,34,35,48,8,10,True
75,75,2025-03-08,16,20,25,36,44,8,9,True
76,76,2025-03-10,4,5,6,15,16,9,10,False
77,77,2025-03-12,3,9,14,36,41,2,10,False
78,78,2025-03-14,12,15,32,44,47,1,7,True
79,79,2025-03-16,9,12,15,19,48,2,9,False
80,80,2025-03-18,9,21,29,33,39,8,9,True
81,81,2025-03-20,1,27,28,37,38,2,7,True
82,82,2025-03-22,8,10,22,48,49,6,11,False
83,83,2025-03-24,15,20,28,30,46,5,7,False
84,84,2025-03-26,3,18,25,49,50,11,12,True
85,85,2025-03-28,1,43,44,46,48,1,11,False
86,86,2025-03-30,2,11,18,30,34,2,8,True
87,87,2025-04-01,7,10,18,20,34,5,10,True
88,88,2025-04-03,5,10,13,16,46,8,12,True
89,89,2025-04-05,3,8,22,37,49,4,7,True
90,90,2025-04-07,5,9,16,18,22,10,11,False
91,91,2025-04-09,17,19,22,36,47,7,10,True
92,92,2025-04-11,14,26,39,41,43,3,12,False
93,93,2025-04-13,4,8,9,20,38,10,12,False
94,94,2025-04-15,8,12,35,39,47,3,9,True
95,95,2025-04-17,35,36,37,39,47,1,2,True
96,96,2025-04-19,6,9,14,33,49,2,9,False
97,97,2025-04-21,1,18,19,28,31,10,12,False
98,98,2025-04-23,6,7,17,26,31,2,4,True
99,99,2025-04-25,2,7,16,29,42,4,10,True
100,100,2025-04-27,14,31,34,42,50,10,12,False
101,101,2025-04-29,9,10,36,39,40,1,4,False
102,102,2025-05-01,3,5,10,22,28,3,11,False
103,103,2025-05-03,6,8,18,23,34,1,5,False
104,104,2025-05-05,4,8,14,36,38,1,10,False
105,105,2025-05-07,1,18,23,32,35,9,10,True
106,106,2025-05-09,12,19,39,43,48,8,12,False
107,107,2025-05-11,1,2,9,33,38,9,11,True
108,108,2025-05-13,5,7,9,23,38,4,11,False
109,109,2025-05-15,11,19,24,34,43,1,8,False
110,110,2025-05-17,8,16,22,31,47,7,11,False
111,111,2025-05-19,3,13,26,33,45,8,12,True
112,112,2025-05-21,7,11,20,21,50,9,11,True
113,113,2025-05-23,4,11,22,33,49,4,8,False
114,114,2025-05-25,1,39,45,49,50,8,10,False
115,115,2025-05-27,7,13,15,27,43,8,12,False
116,116,2025-05-29,7,9,22,25,43,2,8,True
117,117,2025-05-31,2,25,32,43,48,1,5,False
118,118,2025-06-02,4,5,28,40,47,7,9,True
119,119,2025-06-04,26,28,31,40,50,3,7,False
120,120,2025-06-06,12,23,39,47,48,6,8,False
121,121,2025-06-08,3,13,14,31,41,1,4,False
122,122,2025-06-10,6,26,27,37,44,6,11,False
123,123,2025-06-12,3,7,9,21,29,6,11,False
124,124,2025-06-14,10,20,30,31,33,3,8,True
125,125,2025-06-16,28,29,36,38,48,7,10,False
126,126,2025-06-18,1,19,24,27,47,5,7,False
127,127,2025-06-20,15,16,24,34,44,8,9,False
128,128,2025-06-22,10,13,30,33,46,2,10,False
129,129,2025-06-24,11,17,20,38,41,3,7,False
130,130,2025-06-26,8,28,44,45,49,8,12,True
131,131,2025-06-28,1,20,28,38,42,2,6,False
132,132,2025-06-30,10,11,17,44,47,4,11,True
133,133,2025-07-02,6,17,22,29,30,1,12,True
134,134,2025-07-04,3,16,17,31,33,7,10,True
135,135,2025-07-06,7,9,16,39,49,3,9,False
136,136,2025-07-08,2,3,4,7,39,2,5,True
137,137,2025-07-10,16,17,28,35,46,4,10,False
138,138,2025-07-12,27,35,42,43,45,7,9,False
139,139,2025-07-14,5,20,35,36,41,2,8,True
140,140,2025-07-16,10,14,27,38,39,6,8,False
141,141,2025-07-18,2,16,25,27,38,5,6,True
142,142,2025-07-20,4,8,12,22,31,3,12,True
143,143,2025-07-22,22,23,37,38,50,7,10,False
144,144,2025-07-24,7,17,41,48,49,7,12,False
145,145,2025-07-26,6,21,26,27,44,8,10,True
146,146,2025-07-28,8,11,15,30,46,2,5,False
147,147,2025-07-30,5,21,24,27,47,2,8,False
148,148,2025-08-01,6,7,26,34,50,7,9,False
149,149,2025-08-03,7,16,21,27,49,1,3,False
150,150,2025-08-05,5,10,15,26,27,1,6,True
151,151,2025-08-07,5,10,12,23,46,6,10,False
152,152,2025-08-09,2,4,13,15,47,6,10,True
153,153,2025-08-11,9,21,29,30,37,1,5,True
154,154,2025-08-13,30,34,35,40,47,1,12,True
155,155,2025-08-15,9,16,17,18,26,3,6,False
156,156,2025-08-17,14,15,33,45,48,2,10,True
157,157,2025-08-19,9,10,11,21,24,4,9,True
158,158,2025-08-21,4,10,13,27,46,2,6,False
159,159,2025-08-23,1,6,12,40,43,5,6,True
160,160,2025-08-25,2,13,21,31,35,6,9,True
161,161,2025-08-27,13,29,41,46,50,4,12,False
162,162,2025-08-29,5,16,32,38,41,1,2,False
163,163,2025-08-31,11,14,16,39,42,4,9,False
164,164,2025-09-02,22,45,46,49,50,5,6,True
165,165,2025-09-04,15,24,25,28,36,6,8,False
166,166,2025-09-06,22,25,44,46,50,10,11,False
167,167,2025-09-08,1,5,18,23,38,2,7,True
168,168,2025-09-10,1,3,7,24,39,2,4,True
169,169,2025-09-12,13,23,28,32,37,4,8,True
170,170,2025-09-14,1,18,27,32,45,3,10,False
171,171,2025-09-16,11,13,21,29,30,3,5,False
172,172,2025-09-18,4,5,20,26,48,6,12,True
173,173,2025-09-20,15,18,25,27,41,6,9,True
174,174,2025-09-22,6,12,19,21,27,5,6,True
175,175,2025-09-24,7,10,11,31,35,9,12,True
176,176,2025-09-26,5,19,25,39,45,1,3,False
177,177,2025-09-28,1,2,13,26,32,3,12,False
178,178,2025-09-30,5,15,20,21,30,2,7,False
179,179,2025-10-02,13,18,26,44,48,9,12,True
180,180,2025-10-04,3,24,33,35,40,4,6,False
181,181,2025-10-06,9,14,15,18,45,5,9,True
182,182,2025-10-08,10,20,24,48,50,5,8,False
183,183,2025-10-10,3,4,17,34,39,10,11,False
184,184,2025-10-12,5,13,18,37,39,6,11,False
185,185,2025-10-14,1,3,9,28,46,1,5,False
186,186,2025-10-16,24,35,39,41,45,5,6,True
187,187,2025-10-18,3,12,25,45,50,8,10,False
188,188,2025-10-20,8,18,39,42,43,8,10,True
189,189,2025-10-22,34,43,44,46,49,6,12,True
190,190,2025-10-24,17,19,31,43,45,7,10,True
191,191,2025-10-26,15,22,26,38,42,1,9,True
192,192,2025-10-28,2,10,22,27,48,4,12,True
193,193,2025-10-30,5,16,21,27,50,4,9,False
194,194,2025-11-01,4,19,21,35,48,9,10,False
195,195,2025-11-03,9,15,19,24,38,9,11,True
196,196,2025-11-05,10,27,28,29,34,7,10,False
197,197,2025-11-07,5,24,43,45,49,5,9,False
198,198,2025-11-09,8,9,11,15,21,1,11,True
199,199,2025-11-11,1,17,36,38,48,2,10,False
200,200,2025-11-13,13,25,34,37,48,2,8,False
